year,month_num,month_abb,chapter,commodity,value_thousand_usd
2018,2,Feb,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",31997.71022
2018,2,Feb,44,Wood and articles of wood; wood charcoal.,9791.55787
2018,2,Feb,61,"Articles of apparel and clothing accessories, knitted or crocheted.",507474.7301
2018,2,Feb,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",66555.7084
2018,2,Feb,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,10618.87661
2018,2,Feb,64,"Footwear, gaiters and the like; parts of such articles.",64630.12059
2018,2,Feb,73,Articles of iron or steel.,3204.34679
2018,2,Feb,83,Miscellaneous articles of base metal.,1780.836
2018,2,Feb,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",6526.3811
2018,2,Feb,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",37713.16105
2018,2,Feb,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",32919.4663
2018,2,Feb,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",5633.30487
2018,2,Feb,95,"Toys, games and sports requisites; parts and accessories thereof.",2463.21081
2018,2,Feb,99,Others,18796.70937
2018,1,Jan,10,Cereals.,44375.87492
2018,1,Jan,11,Products of the milling industry; malt; starches; inulin; wheat gluten.,3357.09056
2018,1,Jan,17,Sugars and sugar confectionery.,5767.78467
2018,1,Jan,22,"Beverages, spirits and vinegar.",2385.10032
2018,1,Jan,23,Residues and waste from the food industries; prepared animal fodder.,2330.61155
2018,1,Jan,39,Plastics and articles thereof.,16243.44341
2018,1,Jan,40,Rubber and articles thereof.,28124.47755
2018,1,Jan,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",36003.20303
