year,month_num,month_abb,chapter,commodity,value_thousand_usd
2025,3,Mar,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",177601.3223
2025,3,Mar,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",149978.9717
2025,3,Mar,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",198908.8408
2025,3,Mar,96,Miscellaneous manufactured articles.,30024.52043
2025,3,Mar,99,Others,564282.7778
2025,2,Feb,23,Residues and waste from the food industries; prepared animal fodder.,33934.57514
2025,2,Feb,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",319822.652
2025,2,Feb,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes.",23644.34295
2025,2,Feb,30,Pharmaceutical products.,24424.23495
2025,2,Feb,38,Miscellaneous chemical products.,26232.43273
2025,2,Feb,39,Plastics and articles thereof.,104135.5512
2025,2,Feb,40,Rubber and articles thereof.,44921.39281
2025,2,Feb,41,Raw hides and skins (other than furskins) and leather.,32617.26555
2025,2,Feb,44,Wood and articles of wood; wood charcoal.,28826.98931
2025,2,Feb,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",52147.87449
2025,2,Feb,52,Cotton,42982.32267
2025,2,Feb,55,Man- made staple fibres.,82771.16307
2025,2,Feb,60,Knitted or crocheted fabrics.,179386.4968
2025,2,Feb,72,Iron and steel.,75572.66882
2025,2,Feb,73,Articles of iron or steel.,75995.08928
2025,2,Feb,76,Aluminium and articles thereof,56690.64767
2025,2,Feb,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",168934.2308
2025,2,Feb,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",181693.3631
2025,2,Feb,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",183925.1165
2025,2,Feb,96,Miscellaneous manufactured articles.,23767.04051
2025,2,Feb,99,Others,474200.2541
2025,1,Jan,23,Residues and waste from the food industries; prepared animal fodder.,34239.1424
2025,1,Jan,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",337149.9966
2025,1,Jan,38,Miscellaneous chemical products.,175475.3094
2025,1,Jan,39,Plastics and articles thereof.,122150.5678
2025,1,Jan,40,Rubber and articles thereof.,46887.8546
2025,1,Jan,41,Raw hides and skins (other than furskins) and leather.,43474.21994
2025,1,Jan,44,Wood and articles of wood; wood charcoal.,34187.90449
2025,1,Jan,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",61516.14803
2025,1,Jan,52,Cotton,79391.93929
2025,1,Jan,55,Man- made staple fibres.,143896.5782
